,full_train,train_val,AL_subset,random_subset,top_900,mixed_top_50,mean_sample_accuracy,number_good_subsets,pvalue_less,pvalue_greater,dataset
208,0.7532,0.7642222222222222,0.7445,0.7471402777777778,0.7832222222222223,0.7127777777777777,0.7708083333333334,1000,1.0,2.4565820872037383e-107,208
230,0.7566,0.7602222222222222,0.7337,0.7366961666666667,0.7656666666666667,0.7315555555555555,0.7520816666666668,1000,1.0481034744604372e-164,1.0,230
119,0.7756,0.7838888888888889,0.786,0.766722388888889,0.8345555555555556,0.7903333333333333,0.8282311111111113,1000,1.0,0.0,119
168,0.7765,0.7806666666666666,0.7774,0.7631022777777778,0.7824444444444445,0.676,0.7718651111111111,1000,7.63994351316843e-285,1.0,168
347,0.7847,0.7961111111111111,0.8278,0.7815443,0.8313333333333334,0.696,0.8205143333333333,1000,1.0,0.0,347
30,0.7859,0.7765555555555556,0.8074,0.7626946222222222,0.8204444444444444,0.7253333333333334,0.7966918888888889,1000,1.0,0.0,30
299,0.789,0.7957777777777778,0.7563,0.7790359888888888,0.8091111111111111,0.6977777777777778,0.7943802222222223,1000,3.169651907717139e-12,0.9999999999968303,299
351,0.7943,0.7898888888888889,0.8045,0.7716539444444444,0.7884444444444444,0.7291111111111112,0.7786045555555556,1000,0.0,1.0,351
185,0.7951,0.8116666666666666,0.8233,0.7924310777777777,0.8335555555555556,0.7198888888888889,0.8252705555555556,1000,1.0,0.0,185
428,0.7967,0.8076666666666666,0.8161,0.7844904777777778,0.817,0.6885555555555556,0.8025317777777777,1000,3.888234431085461e-90,1.0,428
228,0.799,0.8072222222222222,0.7388,0.7864434444444444,0.8408888888888889,0.7684444444444445,0.8299411111111111,1000,1.0,0.0,228
477,0.8008,0.8056666666666666,0.7984,0.7893832555555557,0.8272222222222222,0.7407777777777778,0.8101633333333335,1000,1.0,6.841441022292631e-79,477
82,0.8065,0.8192222222222222,0.8385,0.7977964888888889,0.8302222222222222,0.7618888888888888,0.8189184444444445,1000,0.10251982312501813,0.8974801768749819,82
361,0.8073,0.8092222222222222,0.8091,0.7924722444444444,0.839,0.7491111111111111,0.8255647777777777,1000,1.0,0.0,361
496,0.8081,0.8162222222222222,0.8078,0.8004806666666666,0.8364444444444444,0.7225555555555555,0.8274253333333333,1000,1.0,0.0,496
41,0.8088,0.8093333333333333,0.8276,0.7936076777777777,0.8477777777777777,0.6782222222222222,0.8365377777777778,1000,1.0,0.0,41
126,0.8093,0.8185555555555556,0.7972,0.8023911333333333,0.825,0.7615555555555555,0.8161862222222223,1000,2.62953049336042e-37,1.0,126
0,0.8103,0.8178888888888889,0.7908,0.7997765555555556,0.824,0.7125555555555556,0.8127321111111112,1000,1.4206333936638572e-128,1.0,0
159,0.8122,0.8073333333333333,0.7966,0.7879926444444444,0.8093333333333333,0.7628888888888888,0.795058111111111,1000,0.0,1.0,159
410,0.8125,0.8268888888888889,0.8193,0.8045279888888889,0.8435555555555555,0.7908888888888889,0.836058,1000,1.0,4.6e-322,410
85,0.8136,0.8151111111111111,0.8058,0.7962275555555556,0.8183333333333334,0.7536666666666667,0.811452,1000,1.1730454816473094e-115,1.0,85
467,0.818,0.8298888888888889,0.8244,0.814107188888889,0.8361111111111111,0.7534444444444445,0.8233047777777779,1000,4.4748996942185543e-200,1.0,467
138,0.8188,0.8191111111111111,0.8173,0.8065769,0.8441111111111111,0.8044444444444444,0.8350989999999999,1000,1.0,0.0,138
