,full_train,train_val,AL_subset,random_subset,top_900,mixed_top_50,mean_sample_accuracy,number_good_subsets,pvalue_less,pvalue_greater,dataset
28,0.7349,0.7387777777777778,0.736,0.7381726555555556,0.7631111111111111,0.6056666666666667,0.7507624444444444,1000,1.0,1.8198866955699939e-258,28
640,0.7508,0.7521111111111111,0.7555,0.7469436555555556,0.7738888888888888,0.6535555555555556,0.7628005555555556,1000,1.0,4.0535965867151745e-219,640
863,0.7546,0.7486666666666667,0.7942,0.7492432444444445,0.8024444444444444,0.7377777777777778,0.7985201111111111,1000,1.0,0.0,863
769,0.7577,0.7552222222222222,0.8179,0.7606769666666667,0.8074444444444444,0.7493333333333333,0.8056183333333333,1000,1.0,0.0,769
299,0.7579,0.7788888888888889,0.7992,0.7628047444444443,0.8447777777777777,0.8013333333333333,0.847058,1000,1.0,0.0,299
656,0.7583,0.7558888888888889,0.8046,0.7541557444444444,0.7522222222222222,0.6043333333333333,0.7532476666666668,1000,3.016631230751239e-113,1.0,656
631,0.7634,0.7688888888888888,0.7726,0.7683912111111112,0.7672222222222222,0.5376666666666666,0.768251,1000,1.184960525107177e-10,0.999999999881504,631
317,0.7644,0.7762222222222223,0.8585,0.7742362888888888,0.7808888888888889,0.6674444444444444,0.7808408888888889,1000,1.0,6.635385852960163e-61,317
470,0.773,0.7965555555555556,0.761,0.7685021000000001,0.812,0.7157777777777777,0.7775975555555555,1000,5e-324,1.0,470
61,0.7744,0.7741111111111111,0.817,0.7732009666666667,0.8054444444444444,0.7398888888888889,0.8023134444444445,1000,1.0,0.0,61
181,0.7745,0.7693333333333333,0.7722,0.7679841,0.7744444444444445,0.7083333333333334,0.7695353333333332,1000,0.988730053843059,0.011269946156941059,181
275,0.7758,0.781,0.7785,0.7764767666666667,0.7856666666666666,0.6288888888888889,0.7742197777777778,1000,4.1708084206668486e-220,1.0,275
763,0.7759,0.7787777777777778,0.7818,0.7796849555555556,0.7858888888888889,0.5141111111111111,0.7815733333333332,1000,1.0,4.1638922808173427e-63,763
458,0.7778,0.7844444444444445,0.7787,0.7822037444444444,0.7736666666666666,0.656,0.7828315555555555,1000,5.709121516538576e-116,1.0,458
282,0.7792,0.7826666666666666,0.7962,0.7830911333333334,0.7952222222222223,0.7146666666666667,0.7899469999999998,1000,1.0,0.0,282
11,0.7793,0.7823333333333333,0.81,0.7789724888888888,0.8093333333333333,0.746,0.7962494444444445,1000,1.0,0.0,11
646,0.7796,0.7903333333333333,0.7781,0.786854711111111,0.7822222222222223,0.6207777777777778,0.7864393333333333,1000,5.042484982017168e-212,1.0,646
775,0.7799,0.7756666666666666,0.8399,0.7751803222222223,0.8115555555555556,0.6977777777777778,0.78775,1000,1.0,3.319501616232447e-204,775
756,0.7803,0.7864444444444444,0.519,0.7796761999999999,0.8111111111111111,0.6611111111111111,0.8007052222222222,1000,1.0,0.0,756
447,0.7806,0.7801111111111111,0.7717,0.7806238444444444,0.7854444444444444,0.6965555555555556,0.7839461111111111,1000,1.0,1.110234535054416e-298,447
119,0.7816,0.7793333333333333,0.7849,0.7850530333333334,0.8118888888888889,0.6031111111111112,0.8097296666666666,1000,1.0,0.0,119
171,0.7829,0.7836666666666666,0.7626,0.7805540111111111,0.7805555555555556,0.667,0.7771108888888889,1000,1.5307622202416e-311,1.0,171
975,0.7849,0.779,0.7898,0.7797919333333333,0.7852222222222223,0.6165555555555555,0.774856,1000,1.1665148836294909e-109,1.0,975
