,full_train,train_val,AL_subset,random_subset,top_900,mixed_top_50,mean_sample_accuracy,number_good_subsets,pvalue_less,pvalue_greater,dataset
238,0.8465,0.85,0.8411,0.8337281666666666,0.8493333333333334,0.7773333333333333,0.8396621111111111,1000,0.0,1.0,238
315,0.8466,0.8411111111111111,0.8619,0.8273641777777777,0.8688888888888889,0.8168888888888889,0.8602324444444444,1000,1.0,0.0,315
435,0.8468,0.8676666666666667,0.8487,0.8462956444444444,0.8647777777777778,0.7998888888888889,0.8580843333333332,1000,0.0,1.0,435
155,0.8481,0.8581111111111112,0.8622,0.8399143777777778,0.8708888888888889,0.8143333333333334,0.8601775555555555,1000,1.0,3.875912412064925e-37,155
200,0.8486,0.8476666666666667,0.8695,0.8339536222222222,0.8754444444444445,0.797,0.8603701111111111,1000,1.0,8.908649526e-315,200
80,0.8503,0.8591111111111112,0.8425,0.8433758666666666,0.8584444444444445,0.7411111111111112,0.8491888888888889,1000,0.0,1.0,80
248,0.8505,0.8704444444444445,0.8409,0.8506767222222222,0.881,0.8124444444444444,0.8700148888888889,1000,0.006507702316573039,0.993492297683427,248
405,0.8514,0.8568888888888889,0.8413,0.838083288888889,0.857,0.754,0.8450605555555556,1000,0.0,1.0,405
415,0.8521,0.8508888888888889,0.8489,0.8364661555555556,0.8544444444444445,0.7811111111111111,0.8461201111111111,1000,1.1215995197145059e-149,1.0,415
194,0.8521,0.8558888888888889,0.8621,0.8435946777777777,0.8766666666666667,0.7438888888888889,0.8660193333333334,1000,1.0,0.0,194
212,0.8523,0.8547777777777777,0.8454,0.8369976777777778,0.8537777777777777,0.7415555555555555,0.8427446666666666,1000,0.0,1.0,212
306,0.8523,0.845,0.8327,0.8298782666666666,0.8476666666666667,0.7393333333333333,0.8370338888888889,1000,6.419483879302776e-287,1.0,306
39,0.8532,0.8503333333333334,0.8713,0.8334898777777778,0.8726666666666667,0.7374444444444445,0.8577123333333333,1000,1.0,9.84643527311618e-202,39
471,0.854,0.8671111111111112,0.8586,0.8499593999999999,0.8735555555555555,0.8447777777777777,0.8619853333333333,1000,6.5903540481067445e-155,1.0,471
